method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,"French Guiana",4,4,189578,OK,0,107,201,341,1758218967932,1758218968303
getPopulationofCountry,Seychelles,1,1,48029,OK,0,97,183,214,1758218968316,1758218968530
getPopulationofCountry,Canada,1,1,31731367,OK,0,89,171,204,1758218968532,1758218968737
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,109,199,246,1758218968738,1758218968985
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,80,162,196,1758218968990,1758218969187
getPopulationofCountry,Tokelau,4,4,1070,OK,0,90,173,203,1758218969188,1758218969392
getPopulationofCountry,Swaziland,1,1,276340,OK,0,92,176,218,1758218969394,1758218969613
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,163,206,1758218969617,1758218969824
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,193,1758218969826,1758218970020
getPopulationofCountry,Palau,4,4,30376,OK,0,92,174,199,1758218970021,1758218970220
getPopulationofCountry,Uganda,4,4,3645095,OK,0,90,173,206,1758218970223,1758218970429
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,164,200,1758218970432,1758218970633
getPopulationofCountry,Kenya,2,2,7571439,OK,0,91,174,210,1758218970635,1758218970846
getPopulationofCountry,Chad,4,4,1680347,OK,0,89,170,197,1758218970847,1758218971045
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,99,192,240,1758218971046,1758218971286
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,93,175,205,1758218971286,1758218971492
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,164,198,1758218971494,1758218971692
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,163,197,1758218971694,1758218971892
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,164,196,1758218971894,1758218972091
getPopulationofCountry,Paraguay,4,4,3988332,OK,0,84,167,202,1758218972093,1758218972296
getPopulationofCountry,Tokelau,4,4,1070,OK,0,80,163,197,1758218972298,1758218972496
getPopulationofCountry,Bhutan,1,1,233433,OK,0,91,175,209,1758218972498,1758218972707
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,92,176,210,1758218972709,1758218972920
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,80,163,196,1758218972922,1758218973119
getPopulationofCountry,Comoros,4,4,361020,OK,0,92,176,210,1758218973121,1758218973331
getPopulationofCountry,Honduras,2,2,3328228,OK,0,88,169,195,1758218973334,1758218973530
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,163,190,1758218973530,1758218973721
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,163,197,1758218973723,1758218973920
getPopulationofCountry,Brazil,3,3,134594036,OK,0,93,174,202,1758218973920,1758218974123
getPopulationofCountry,Peru,5,5,21079844,OK,0,116,208,246,1758218974124,1758218974371
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,163,195,1758218974373,1758218974569
getPopulationofCountry,Tajikistan,3,3,1907246,OK,0,90,172,201,1758218974570,1758218974772
getPopulationofCountry,Poland,4,4,29145131,OK,0,91,173,201,1758218974772,1758218974974
getPopulationofCountry,Togo,5,5,1565638,OK,0,92,175,203,1758218974974,1758218975178
getPopulationofCountry,Peru,2,2,21079844,OK,0,93,176,211,1758218975181,1758218975393
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,163,196,1758218975394,1758218975592
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,162,187,1758218975592,1758218975780
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,163,198,1758218975782,1758218975981
getPopulationofCountry,Guyana,2,2,369776,OK,0,86,168,192,1758218975981,1758218976174
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,91,174,205,1758218976176,1758218976382
