method,args,client_zone,server_zone,value,status,wait_ms,exec_ms,turn_ms,total_ms,start_ms,end_ms
getPopulationofCountry,"French Guiana",4,4,189578,OK,0,83,168,316,1758220408085,1758220408423
getPopulationofCountry,Seychelles,1,1,48029,OK,0,81,162,193,1758220408434,1758220408628
getPopulationofCountry,Canada,1,1,31731367,OK,0,80,162,189,1758220408629,1758220408818
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,83,165,198,1758220408819,1758220409018
getPopulationofCountry,"Equatorial Guinea",2,2,447039,OK,0,80,162,190,1758220409025,1758220409216
getPopulationofCountry,Tokelau,4,4,1070,OK,0,81,164,196,1758220409219,1758220409416
getPopulationofCountry,Swaziland,1,1,276340,OK,0,82,165,203,1758220409419,1758220409622
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,194,1758220409626,1758220409821
getPopulationofCountry,Swaziland,1,1,276340,OK,0,80,162,196,1758220409824,1758220410020
getPopulationofCountry,Palau,4,4,30376,OK,0,81,164,196,1758220410023,1758220410220
getPopulationofCountry,Uganda,4,4,3645095,OK,0,81,163,195,1758220410223,1758220410418
getPopulationofCountry,Uganda,4,4,3645095,OK,0,80,162,193,1758220410420,1758220410614
getPopulationofCountry,Kenya,2,2,7571439,OK,0,80,161,188,1758220410615,1758220410803
getPopulationofCountry,Chad,4,4,1680347,OK,0,80,161,185,1758220410804,1758220410990
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,82,163,194,1758220410991,1758220411185
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,82,164,188,1758220411186,1758220411375
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,162,194,1758220411378,1758220411572
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,162,193,1758220411574,1758220411768
getPopulationofCountry,Ukraine,4,4,32847337,OK,0,80,163,193,1758220411770,1758220411963
getPopulationofCountry,Paraguay,4,4,3988332,OK,0,82,165,197,1758220411965,1758220412162
getPopulationofCountry,Tokelau,4,4,1070,OK,0,80,162,193,1758220412164,1758220412358
getPopulationofCountry,Bhutan,1,1,233433,OK,0,82,164,196,1758220412360,1758220412557
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,81,163,194,1758220412558,1758220412753
getPopulationofCountry,Guatemala,2,2,6340891,OK,0,80,161,185,1758220412753,1758220412939
getPopulationofCountry,Comoros,4,4,361020,OK,0,81,163,188,1758220412940,1758220413129
getPopulationofCountry,Honduras,2,2,3328228,OK,0,83,165,195,1758220413132,1758220413328
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,161,187,1758220413329,1758220413516
getPopulationofCountry,Honduras,2,2,3328228,OK,0,80,162,190,1758220413518,1758220413709
getPopulationofCountry,Brazil,3,3,134594036,OK,0,83,165,195,1758220413711,1758220413906
getPopulationofCountry,Peru,5,5,21079844,OK,0,84,167,208,1758220413908,1758220414116
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,162,191,1758220414118,1758220414310
getPopulationofCountry,Tajikistan,3,3,1907246,OK,0,82,164,194,1758220414312,1758220414507
getPopulationofCountry,Poland,4,4,29145131,OK,0,83,165,196,1758220414509,1758220414706
getPopulationofCountry,Togo,5,5,1565638,OK,0,80,162,194,1758220414708,1758220414902
getPopulationofCountry,Peru,2,2,21079844,OK,0,82,164,189,1758220414903,1758220415092
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,162,191,1758220415094,1758220415286
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,161,191,1758220415288,1758220415479
getPopulationofCountry,Peru,2,2,21079844,OK,0,80,161,185,1758220415480,1758220415666
getPopulationofCountry,Guyana,2,2,369776,OK,0,80,162,191,1758220415668,1758220415860
getPopulationofCountry,Guadeloupe,5,5,374575,OK,0,80,161,184,1758220415860,1758220416045
getPopulationofCountry,Guadeloupe,3,3,374575,OK,0,82,163,188,1758220416046,1758220416235
getPopulationofCountry,Nepal,4,4,3989252,OK,0,82,164,193,1758220416236,1758220416430
getPopulationofCountry,Nepal,4,4,3989252,OK,0,80,162,193,1758220416432,1758220416625
getPopulationofCountry,Japan,3,3,100848918,OK,0,82,164,193,1758220416627,1758220416820
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,191,1758220416822,1758220417013
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,161,186,1758220417014,1758220417200
getPopulationofCountry,Guatemala,3,3,6340891,OK,0,80,162,191,1758220417202,1758220417393
getPopulationofCountry,Tajikistan,1,1,1907246,OK,0,81,163,192,1758220417395,1758220417587
getPopulationofCountry,Belgium,5,5,15411242,OK,0,83,164,187,1758220417588,1758220417776
getPopulationofCountry,Belgium,5,5,15411242,OK,0,80,162,192,1758220417778,1758220417970
getPopulationofCountry,Belgium,4,4,15411242,OK,0,83,165,194,1758220417972,1758220418167
getPopulationofCountry,Peru,5,5,21079844,OK,0,80,162,190,1758220418168,1758220418359
