# Columns: result|ERROR method args Zone:N ServerZone:Z WaitMs ExecMs TurnMs TotalMs [errorType]
30376 getPopulationofCountry Palau Zone:3 ServerZone:4 WaitMs:0 ExecMs:7 TurnMs:89 TotalMs:127
15411242 getPopulationofCountry Belgium Zone:5 ServerZone:1 WaitMs:2 ExecMs:7 TurnMs:92 TotalMs:219
15411242 getPopulationofCountry Belgium Zone:5 ServerZone:1 WaitMs:0 ExecMs:31 TurnMs:114 TotalMs:241
15411242 getPopulationofCountry Belgium Zone:4 ServerZone:5 WaitMs:0 ExecMs:36 TurnMs:119 TotalMs:161
1907246 getPopulationofCountry Tajikistan Zone:1 ServerZone:2 WaitMs:0 ExecMs:3 TurnMs:86 TotalMs:125
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:4 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:125
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:4 WaitMs:0 ExecMs:1 TurnMs:88 TotalMs:130
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:4 WaitMs:0 ExecMs:5 TurnMs:88 TotalMs:126
100848918 getPopulationofCountry Japan Zone:3 ServerZone:4 WaitMs:0 ExecMs:22 TurnMs:104 TotalMs:146
3989252 getPopulationofCountry Nepal Zone:4 ServerZone:5 WaitMs:0 ExecMs:2 TurnMs:94 TotalMs:133
374575 getPopulationofCountry Guadeloupe Zone:5 ServerZone:1 WaitMs:0 ExecMs:4 TurnMs:102 TotalMs:239
3989252 getPopulationofCountry Nepal Zone:4 ServerZone:5 WaitMs:0 ExecMs:3 TurnMs:86 TotalMs:129
21079844 getPopulationofCountry Peru Zone:5 ServerZone:1 WaitMs:4 ExecMs:262 TurnMs:387 TotalMs:564
1565638 getPopulationofCountry Togo Zone:5 ServerZone:1 WaitMs:157 ExecMs:6 TurnMs:255 TotalMs:398
21079844 getPopulationofCountry Peru Zone:5 ServerZone:1 WaitMs:265 ExecMs:4 TurnMs:394 TotalMs:530
374575 getPopulationofCountry Guadeloupe Zone:3 ServerZone:4 WaitMs:0 ExecMs:9 TurnMs:92 TotalMs:134
369776 getPopulationofCountry Guyana Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:91 TotalMs:142
21079844 getPopulationofCountry Peru Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:87 TotalMs:131
21079844 getPopulationofCountry Peru Zone:2 ServerZone:3 WaitMs:0 ExecMs:3 TurnMs:94 TotalMs:135
21079844 getPopulationofCountry Peru Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:90 TotalMs:129
21079844 getPopulationofCountry Peru Zone:2 ServerZone:3 WaitMs:0 ExecMs:10 TurnMs:94 TotalMs:143
29145131 getPopulationofCountry Poland Zone:4 ServerZone:5 WaitMs:0 ExecMs:43 TurnMs:141 TotalMs:186
1907246 getPopulationofCountry Tajikistan Zone:3 ServerZone:4 WaitMs:0 ExecMs:0 TurnMs:93 TotalMs:136
134594036 getPopulationofCountry Brazil Zone:3 ServerZone:4 WaitMs:0 ExecMs:37 TurnMs:119 TotalMs:162
3328228 getPopulationofCountry Honduras Zone:2 ServerZone:3 WaitMs:0 ExecMs:2 TurnMs:86 TotalMs:134
3328228 getPopulationofCountry Honduras Zone:2 ServerZone:3 WaitMs:0 ExecMs:1 TurnMs:84 TotalMs:135
3328228 getPopulationofCountry Honduras Zone:2 ServerZone:3 WaitMs:0 ExecMs:13 TurnMs:101 TotalMs:139
361020 getPopulationofCountry Comoros Zone:4 ServerZone:5 WaitMs:0 ExecMs:9 TurnMs:92 TotalMs:131
6340891 getPopulationofCountry Guatemala Zone:2 ServerZone:3 WaitMs:0 ExecMs:4 TurnMs:88 TotalMs:129
6340891 getPopulationofCountry Guatemala Zone:2 ServerZone:3 WaitMs:0 ExecMs:14 TurnMs:99 TotalMs:142
6340891 getPopulationofCountry Guatemala Zone:3 ServerZone:4 WaitMs:2 ExecMs:232 TurnMs:355 TotalMs:454
233433 getPopulationofCountry Bhutan Zone:1 ServerZone:2 WaitMs:0 ExecMs:9 TurnMs:93 TotalMs:146
1070 getPopulationofCountry Tokelau Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:85 TotalMs:136
3988332 getPopulationofCountry Paraguay Zone:4 ServerZone:5 WaitMs:0 ExecMs:1 TurnMs:99 TotalMs:143
32847337 getPopulationofCountry Ukraine Zone:4 ServerZone:5 WaitMs:26 ExecMs:4 TurnMs:116 TotalMs:163
32847337 getPopulationofCountry Ukraine Zone:4 ServerZone:5 WaitMs:78 ExecMs:5 TurnMs:172 TotalMs:211
32847337 getPopulationofCountry Ukraine Zone:4 ServerZone:5 WaitMs:121 ExecMs:2 TurnMs:210 TotalMs:254
32847337 getPopulationofCountry Ukraine Zone:4 ServerZone:5 WaitMs:119 ExecMs:22 TurnMs:228 TotalMs:272
1680347 getPopulationofCountry Chad Zone:4 ServerZone:5 WaitMs:173 ExecMs:14 TurnMs:274 TotalMs:322
7571439 getPopulationofCountry Kenya Zone:2 ServerZone:3 WaitMs:167 ExecMs:6 TurnMs:270 TotalMs:320
276340 getPopulationofCountry Swaziland Zone:1 ServerZone:2 WaitMs:295 ExecMs:8 TurnMs:420 TotalMs:478
3645095 getPopulationofCountry Uganda Zone:4 ServerZone:5 WaitMs:250 ExecMs:15 TurnMs:362 TotalMs:410
31731367 getPopulationofCountry Canada Zone:1 ServerZone:2 WaitMs:1 ExecMs:327 TurnMs:451 TotalMs:689
1070 getPopulationofCountry Tokelau Zone:4 ServerZone:5 WaitMs:9 ExecMs:283 TurnMs:429 TotalMs:554
48029 getPopulationofCountry Seychelles Zone:1 ServerZone:2 WaitMs:319 ExecMs:5 TurnMs:427 TotalMs:749
189578 getPopulationofCountry French Guiana Zone:4 ServerZone:5 WaitMs:265 ExecMs:8 TurnMs:360 TotalMs:765
276340 getPopulationofCountry Swaziland Zone:1 ServerZone:2 WaitMs:321 ExecMs:14 TurnMs:445 TotalMs:538
276340 getPopulationofCountry Swaziland Zone:1 ServerZone:2 WaitMs:331 ExecMs:8 TurnMs:431 TotalMs:493
447039 getPopulationofCountry Equatorial Guinea Zone:2 ServerZone:3 WaitMs:3 ExecMs:264 TurnMs:435 TotalMs:638
30376 getPopulationofCountry Palau Zone:4 ServerZone:5 WaitMs:274 ExecMs:6 TurnMs:379 TotalMs:427
447039 getPopulationofCountry Equatorial Guinea Zone:2 ServerZone:3 WaitMs:260 ExecMs:2 TurnMs:361 TotalMs:594
3645095 getPopulationofCountry Uganda Zone:4 ServerZone:5 WaitMs:0 ExecMs:2 TurnMs:93 TotalMs:139
9362428 getPopulationofCountry Sweden Zone:2 ServerZone:3 WaitMs:2 ExecMs:23 TurnMs:114 TotalMs:154
5996338 getPopulationofCountry Senegal Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:84 TotalMs:123
5996338 getPopulationofCountry Senegal Zone:1 ServerZone:2 WaitMs:0 ExecMs:2 TurnMs:87 TotalMs:123
369776 getPopulationofCountry Guyana Zone:3 ServerZone:5 WaitMs:33 ExecMs:1 TurnMs:120 TotalMs:188
189578 getPopulationofCountry French Guiana Zone:3 ServerZone:5 WaitMs:60 ExecMs:6 TurnMs:150 TotalMs:217
189578 getPopulationofCountry French Guiana Zone:3 ServerZone:5 WaitMs:103 ExecMs:2 TurnMs:191 TotalMs:258
7571439 getPopulationofCountry Kenya Zone:3 ServerZone:4 WaitMs:197 ExecMs:7 TurnMs:291 TotalMs:330
316458 getPopulationofCountry Suriname Zone:4 ServerZone:5 WaitMs:278 ExecMs:1 TurnMs:363 TotalMs:400
316458 getPopulationofCountry Suriname Zone:4 ServerZone:5 WaitMs:303 ExecMs:2 TurnMs:388 TotalMs:425
316458 getPopulationofCountry Suriname Zone:4 ServerZone:5 WaitMs:349 ExecMs:2 TurnMs:436 TotalMs:472
4803355 getPopulationofCountry Serbia Zone:3 ServerZone:4 WaitMs:420 ExecMs:4 TurnMs:511 TotalMs:547
316458 getPopulationofCountry Suriname Zone:4 ServerZone:5 WaitMs:374 ExecMs:5 TurnMs:462 TotalMs:500
